Organisation name,Identifying details,Total scope 1 emissions (t CO2-e),Total scope 2 emissions (t CO2-e),Net energy consumed (GJ),Important notes
MONDELEZ AUSTRALIA HOLDINGS PTY LIMITED,86 004 880 817,"28,634","48,766","834,690",-
ASSOCIATED KILN DRIERS PTY. LIMITED,34 004 341 048,"28,600","59,102","2,665,583",-
THOMAS FOODS INTERNATIONAL CONSOLIDATED PTY LIMITED,20 105 099 849,"28,214","28,972","583,053",-
PFD FOOD SERVICES PTY LTD,29 006 972 381,"28,024","38,616","560,949",-
SNACKING INVESTMENTS HOLDCO PTY LIMITED,64 634 908 482,"27,621","47,876","736,706",-
AERIS RESOURCES LIMITED,30 147 131 977,"27,486","110,936","894,802",-
PEPSICO FOODS GROUP PTY LTD,71 122 527 137,"27,303","23,877","651,366",-
NORTHERN SEQ DISTRIBUTOR - RETAILER AUTHORITY,89 791 717 472,"26,785","57,350","352,520",-
CROWN RESORTS LIMITED,39 125 709 953,"26,448","114,323","927,345",-
EMR CAPITAL GOLDEN GROVE PTY LTD,76 616 179 705,"26,176","98,670","906,021",-
ESSENTIAL ENERGY,37 428 185 226,"25,746","572,220","2,803,683",-
DP WORLD AUSTRALIA (HOLDING) PTY LTD,58 147 892 715,"25,664","41,823","545,846",-
COCA-COLA AMATIL LIMITED,26 004 139 397,"24,820","89,248","855,374",-
KIRKLAND LAKE GOLD VICTORIA HOLDINGS PTY LTD,21 128 442 375,"24,431","137,746","871,145",-
CHEVRON AUSTRALIA PRODUCTS PTY LIMITED,26 147 978 890,"23,625","29,421","528,942",-
WINDFIELD HOLDINGS PTY LTD,60 160 456 164,"22,855","51,933","608,258",-
VICTORIA POWER NETWORKS PTY LTD,37 116 940 820,"22,830","995,791","3,924,437",-
AUSGRID MANAGEMENT PTY LTD,83 615 449 548,"22,437","780,844","3,598,012",-
STOCKLAND CORPORATION LTD,43 000 181 733,"22,401","46,504","584,575",-
NEW CENTURY RESOURCES LIMITED,53 142 165 080,"21,985","205,032","1,219,791",-
HAZELDENE'S CHICKEN FARM PROPRIETARY LIMITED,72 004 381 346,"21,252","29,195","403,245",-
CSL LIMITED,99 051 588 348,"19,904","74,940","658,580",-
AAPC LIMITED,87 009 175 820,"19,772","146,592","1,039,404",-
CKI UTILITIES DEVELOPMENT LIMITED & OTHERS,13 332 330 749,"19,316","379,093","3,375,148",-
WILMAR GF HOLDINGS AUSTRALIA PTY LTD,55 600 457 430,"18,909","36,584","515,884",-
BOC LIMITED,95 000 029 729,"18,278","387,207","2,144,805",-
QUEENSLAND ELECTRICITY TRANSMISSION CORPORATION LIMITED,82 078 849 233,"18,100","979,276","4,383,379",-
DORAL PTY LTD,85 008 902 841,"18,003","34,910","451,352",-
EPSILON DISTRIBUTION MINISTERIAL HOLDING CORPORATION,59 253 130 878,"17,911","601,155","2,802,923",-
MONASH UNIVERSITY,12 377 614 012,"17,107","90,991","678,590",-
OLAM ORCHARDS AUSTRALIA PTY LTD,15 139 442 532,"16,839","84,524","568,662",-
DEXUS HOLDINGS PTY LIMITED,48 110 366 946,"16,155","97,479","568,288",-
RAMSAY HEALTH CARE LIMITED,57 001 288 768,"16,125","152,222","987,658",-
PACT GROUP HOLDINGS LTD,55 145 989 644,"16,109","196,340","1,179,196",-
PERILYA LIMITED,85 009 193 695,"15,510","132,539","849,050",-
HEALTHSCOPE PTY LTD,65 144 840 639,"14,585","89,707","690,379",-
METCASH LIMITED,32 112 073 480,"14,576","63,130","413,634",-
SCENTRE GROUP LIMITED,66 001 671 496,"14,312","213,281","1,105,143",-
COMPETITIVE FOODS AUSTRALIA PTY LTD,48 010 542 908,"13,617","125,467","839,366",-
ST JOHN OF GOD HEALTH CARE INC,21 930 207 958,"13,594","59,961","536,607",-
MATER MISERICORDIAE LTD,83 096 708 922,"13,246","60,983","442,706",-
ST VINCENT'S HEALTH AUSTRALIA LTD,75 073 503 536,"13,097","91,671","644,490",-
CO-OPERATIVE BULK HANDLING LIMITED,29 256 604 947,"12,992","42,380","418,813",-
UNIVERSITY OF MELBOURNE,84 002 705 224,"12,797","96,262","611,978",-
TUROSI PTY LTD,92 620 198 165,"12,619","41,395","325,503",-
MONASH HEALTH,82 142 080 338,"12,591","59,182","463,962",-
NORTH METROPOLITAN HEALTH SERVICE,61 282 636 952,"12,463","69,625","608,941",-
AUSTIN HEALTH,96 237 388 063,"12,458","43,853","401,356",-
TRILITY GROUP PTY LTD,39 144 522 565,"12,439","73,001","560,519",-
29METALS LIMITED,95 650 096 094,"12,418","66,697","482,231",-
"COSTCO WHOLESALE AUSTRALIA, PTY. LTD.",57 104 012 893,"12,040","42,265","234,131",-
OVATO LIMITED,39 050 148 644,"11,728","47,227","414,826",-
CHARTER HALL LIMITED,57 113 531 150,"11,720","82,724","464,991",-
COMMONWEALTH SCIENTIFIC AND INDUSTRIAL RESEARCH ORGANISATION,41 687 119 230,"11,507","84,247","616,376",-
QIC LIMITED,95 942 373 762,"11,128","84,136","475,199",-
THE UNITING CHURCH IN AUSTRALIA PROPERTY TRUST (Q.),25 548 385 225,"11,049","73,514","501,084",-
SYDNEY TRAINS,38 284 779 682,"10,854","529,252","2,494,302",-
CHEMCO PTY LTD,68 008 725 817,"10,763","108,530","753,326",-
CMOC MINING PTY LIMITED,17 164 997 317,"10,617","206,645","1,078,959",-
NSW ELECTRICITY NETWORKS OPERATIONS PTY LIMITED,003 179 986,"10,506","1,211,782","5,442,467",-
EVENT HOSPITALITY AND ENTERTAINMENT LTD,51 000 005 103,"9,684","99,165","632,430",-
THE STAR ENTERTAINMENT GROUP LIMITED,85 149 629 023,"9,285","89,467","573,542",-
IX INFRASTRUCTURE PTY LTD,78 629 750 401,"9,118","139,893","963,506",-
SONIC HEALTHCARE LIMITED,24 004 196 909,"8,716","56,189","388,709",-
EPWORTH FOUNDATION,97 420 694 950,"8,602","42,525","322,920",-
ISPT PTY LTD,28 064 041 283,"8,256","48,199","303,741",-
WA COUNTRY HEALTH SERVICE,28 680 145 816,"8,196","46,003","376,059",-
PUBLIC TRANSPORT AUTHORITY OF WESTERN AUSTRALIA,61 850 109 576,"7,889","130,023","802,337",-
SOUTH METROPOLITAN HEALTH SERVICE,92 264 056 442,"7,677","45,166","383,668",-
TASMANIAN NETWORKS PTY LTD,24 167 357 299,"7,672","74,779","1,645,882",-
VILO ENTERPRISES PTY LTD,070 890 229,"7,408","46,949","296,017",-
HOLIDAY INNS HOLDINGS (AUSTRALIA) PTY. LIMITED,95 003 621 216,"7,394","47,867","363,566",-
AMP LIMITED,49 079 354 519,"7,180","70,190","412,026",-
UNIVERSITY OF NEW SOUTH WALES,57 195 873 179,"6,886","70,251","450,154",-
AIR LIQUIDE AUSTRALIA LIMITED,57 004 385 782,"6,803","222,355","1,411,476",-
GPT MANAGEMENT HOLDINGS LIMITED,67 113 510 188,"6,783","71,687","402,233",-
NATIONAL AUSTRALIA BANK LIMITED,12 004 044 937,"6,764","72,887","407,670",-
UNIVERSITY OF SYDNEY,15 211 513 464,"6,611","88,202","521,475",-
SUN METALS HOLDINGS LIMITED,30 051 538 580,"6,487","697,845","3,191,397",-
PATTIES FOODS PTY LIMITED,62 007 157 182,"6,466","45,229","297,798",-
HARVEY NORMAN HOLDINGS LTD,54 003 237 545,"6,383","101,866","559,194",-
MIRVAC LIMITED,92 003 280 699,"6,301","64,019","389,497",-
PFG TOPCO1 PTY LIMITED,35 604 317 875,"6,185","66,960","388,605",-
METRO TRAINS MELBOURNE PTY. LTD.,43 136 429 948,"6,181","445,466","1,732,875",-
COMMONWEALTH BANK OF AUSTRALIA,48 123 123 124,"5,981","87,731","470,309",-
WESTPAC BANKING CORPORATION,33 007 457 141,"5,976","85,181","460,954",-
SYDNEY AIRPORT LIMITED,18 165 056 360,"4,974","66,150","385,421",-
VICINITY LIMITED,90 114 757 783,"4,250","121,811","630,713",-
NEWS AUSTRALIA HOLDINGS PTY LIMITED,32 105 197 028,"4,246","71,816","394,992",-
NBN CO LIMITED,86 136 533 741,"3,962","324,871","1,515,814",-
TPG TELECOM LIMITED,76 096 304 620,"3,904","235,449","1,134,879",-
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,11 005 357 522,"3,650","85,138","394,765",-
MYER HOLDINGS LIMITED,14 119 085 602,"3,527","102,074","481,402",-
TRANSURBAN HOLDINGS LIMITED,86 098 143 429,"3,350","196,853","906,493",-
ELECTRANET PTY LIMITED,41 094 482 416,"2,848","143,795","1,207,499",-
SUNWATER LIMITED,17 020 276 523,"2,548","149,784","701,474",-
SINGAPORE TELECOM AUSTRALIA INVESTMENTS PTY LIMITED,69 096 686 190,"2,372","425,913","1,923,609",-
AUSTRALIAN NUCLEAR SCIENCE AND TECHNOLOGY ORGANISATION,47 956 969 590,"2,294","55,413","245,777",-
QUEENSLAND BULK WATER SUPPLY AUTHORITY,75 450 239 876,"2,178","104,228","492,403",-
FUJITSU AUSTRALIA LTD,19 001 011 427,"1,800","110,062","497,544",-
THE UNIVERSITY OF QUEENSLAND,63 942 912 684,"1,591","108,145","532,525",-
A.C.N. 085 239 998 PTY LTD,39 085 239 998,"1,515","173,172","812,718",-
F & F MANAGEMENT PTY. LTD.,36 133 040 721,"1,433","51,431","253,600",-
FREQUENCY INFRASTRUCTURE AUSTRALIA HOLDINGS PTY LTD,27 136 262 952,"1,222","71,331","357,036",-
DALRYMPLE BAY COAL TERMINAL PTY. LTD.,12 010 268 167,"1,163","70,053","330,139",-
ALIAXIS HOLDINGS AUSTRALIA PTY LIMITED,33 169 799 080,"1,046","57,299","276,913",-
EQUINIX AUSTRALIA PTY LIMITED,25 092 807 264,969,"299,083","1,283,804",-
SUPER RETAIL GROUP LIMITED,81 108 676 204,875,"60,300","285,136",-
OSIRIS HOLDINGS PTY LTD,29 168 919 391,839,"58,764","274,700",-
R.G. WITHERS NOMINEES PTY. LTD.,65 008 667 052,675,"122,072","524,234",-
NEXTDC LIMITED,35 143 582 521,663,"293,797","1,257,868",-
AMAZON CORPORATE SERVICES PTY LTD,95 082 931 600,605,"192,062","861,976",-
NCIG HOLDINGS PTY LTD,98 124 700 483,514,"56,777","260,456",-
PORT WARATAH COAL SERVICES LTD,99 001 363 828,451,"117,992","530,940",-
JB HI-FI LIMITED,80 093 220 136,360,"64,487","292,611",-
AIRTRUNK AUSTRALIA HOLDING PTY LTD,50 616 379 232,328,"157,174","660,303",-
METRO TRAINS SYDNEY PTY LTD,54 600 820 737,220,"68,540","306,010",-
CDC GROUP HOLDINGS PTY LTD,67 612 332 073,163,Withheld,Withheld,"Section 25 of the National Greenhouse and Energy Reporting Act 2007 (NGER Act) permits corporations to apply to have information withheld from publication. CDC Group Holdings Pty Ltd's corporate scope 2 emissions and energy data are withheld from publication, pending finalisation of their application under section 25 to withhold this information."
DIGITAL AUSTRALIA INVESTMENT MANAGEMENT PTY LIMITED,27 150 294 134,149,"59,706","249,821",-
MCDONALD'S AUSTRALIA LIMITED,43 008 496 928,138,"74,021","331,386",-
GLOBAL SWITCH AUSTRALIA PTY LIMITED,65 094 338 333,85,"129,503","576,792",-
MOORABOOL WIND FARM (HOLDING) PTY LTD,45 614 439 691,64,"68,044","250,872",-
LYONDELLBASELL AUSTRALIA (HOLDINGS) PTY LTD,74 066 270 237,2,"56,327","58,250",-
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
