"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"14D","1414 DEGREES LIMITED","2018-09-12","Capital Goods",17976706
"1AD","ADALTA LIMITED","2016-08-22","Pharmaceuticals, Biotechnology & Life Sciences",15080868
"1AE","AURORA ENERGY METALS LIMITED","2022-05-18","Materials",32087473
"1AG","ALTERRA LIMITED","2008-05-16","Food, Beverage & Tobacco",8346631
"1CG","ONE CLICK GROUP LIMITED","2017-04-28","Capital Goods",8916743
"1MC","MORELLA CORPORATION LIMITED","2001-01-08","Materials",104428004
"1ST","1ST GROUP LIMITED","2015-06-09","Health Care Equipment & Services","N/A"
"29M","29METALS LIMITED","2021-07-02","Materials",1208203808
"2BE","TUBI LIMITED","2019-06-14","Energy","N/A"
"360","LIFE360 INC.","2019-05-10","Software & Services",1177177182
"3DA","AMAERO INTERNATIONAL LTD","2019-12-06","Capital Goods",16943164
"3DAN","AMAERO INTERNATIONAL LTD","2019-12-06","Capital Goods",16943164
"3DP","POINTERRA LIMITED","2008-03-27","Software & Services",125394148
"3MF","3D METALFORGE LIMITED","2021-03-02","Commercial & Professional Services","N/A"
"3PL","3P LEARNING LIMITED..","2014-07-09","Consumer Services",374636050
"4DS","4DS MEMORY LIMITED","2010-12-09","Semiconductors & Semiconductor Equipment",37734019
"4DX","4DMEDICAL LIMITED","2020-08-07","Health Care Equipment & Services",139883623
"5EA","5E ADVANCED MATERIALS INC.","2022-03-01","Materials",767623010
"5GG","PENTANET LIMITED","2021-01-29","Telecommunication Services",81347946
"88E","88 ENERGY LIMITED","2000-01-20","Energy",164391867
"8CO","8COMMON LIMITED","2014-08-27","Software & Services",20497276
"8IH","8I HOLDINGS LTD","2014-12-17","Diversified Financials",19654579
"8VI","8VI HOLDINGS LIMITED","2015-12-16","Consumer Services",29666995
"92E","92 ENERGY LIMITED","2021-04-15","Energy",43079133
"99L","99 LOYALTY LIMITED.","2013-10-08","Software & Services",18554924
"9SP","9 SPOKES INTERNATIONAL LIMITED","2016-06-09","Software & Services","N/A"
"A11","ATLANTIC LITHIUM LIMITED","2022-09-26","Materials",545167494
"A1G","AFRICAN GOLD LTD.","2019-02-14","Materials",9314006
"A1GN","AFRICAN GOLD LTD.","2019-02-14","Materials",9314006
"A1M","AIC MINES LIMITED","1993-11-04","Materials",167269349
"A2B","A2B AUSTRALIA LIMITED","1999-12-14","Transportation",128504524
"A2M","THE A2 MILK COMPANY LIMITED","2015-03-31","Food, Beverage & Tobacco",4593112416
"A3D","AURORA LABS LIMITED","2016-08-16","Capital Goods",5524742
"A4N","ALPHA HPA LIMITED","2007-10-22","Materials",527190056
"A8G","AUSTRALASIAN METALS LIMITED","2021-05-13","Materials",12248316
"AAC","AUSTRALIAN AGRICULTURAL COMPANY LIMITED.","2001-08-10","Food, Beverage & Tobacco",1054841807
"AAJ","ARUMA RESOURCES LIMITED","2010-07-23","Materials",12399959
"AAP","AUSTRALIAN AGRICULTURAL PROJECTS LIMITED","2004-01-07","Food, Beverage & Tobacco",7627487
"AAR","ASTRAL RESOURCES NL","1986-11-13","Materials",39259189
"AAU","ANTILLES GOLD LIMITED","1993-11-25","Materials",14552449
"ABA","AUSWIDE BANK LTD","1994-09-19","Banks",259583009
"ABB","AUSSIE BROADBAND LIMITED","2020-10-16","Telecommunication Services",594163190
"ABC","ADBRI LIMITED","1962-05-31","Materials",1145361359
"ABE","AUSTRALIAN BOND EXCHANGE HOLDINGS LIMITED","2021-12-06","Diversified Financials",35606154
"ABP","ABACUS PROPERTY GROUP","2002-11-14","Real Estate",2412875609
"ABV","ADVANCED BRAKING TECHNOLOGY LTD","2002-05-28","Automobiles & Components",15545099
"ABX","ABX GROUP LIMITED","2009-12-24","Materials",30184760
"ABY","ADORE BEAUTY GROUP LIMITED","2020-10-23","Retailing",162364757
"AC8","AUSCANN GROUP HOLDINGS LTD","1989-05-03","Pharmaceuticals, Biotechnology & Life Sciences","N/A"
"ACB","A-CAP ENERGY LIMITED","2006-05-19","Energy",99827242
"ACF","ACROW FORMWORK AND CONSTRUCTION SERVICES LIMITED","2008-06-27","Capital Goods",149702294
"ACL","AUSTRALIAN CLINICAL LABS LIMITED","2021-05-14","Health Care Equipment & Services",680180631
"ACP","AUDALIA RESOURCES LIMITED","2011-07-06","Materials",8305634
"ACQ","ACORN CAPITAL INVESTMENT FUND LIMITED","2014-05-01","Not Applic",97249894
"ACR","ACRUX LIMITED","2004-09-29","Pharmaceuticals, Biotechnology & Life Sciences",19174829
